latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54149,13.359375,38.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm)
2024-05-15T00:00,16.0,63,0.00
2024-05-15T01:00,15.4,65,0.00
2024-05-15T02:00,14.8,66,0.00
2024-05-15T03:00,14.2,67,0.00
2024-05-15T04:00,14.1,65,0.00
2024-05-15T05:00,15.4,58,0.00
2024-05-15T06:00,17.4,48,0.00
2024-05-15T07:00,19.3,41,0.00
2024-05-15T08:00,20.9,35,0.00
2024-05-15T09:00,22.0,32,0.00
2024-05-15T10:00,23.0,31,0.00
2024-05-15T11:00,23.8,31,0.00
2024-05-15T12:00,24.6,30,0.00
2024-05-15T13:00,25.1,29,0.00
2024-05-15T14:00,25.2,29,0.00
2024-05-15T15:00,25.0,31,0.00
2024-05-15T16:00,24.3,35,0.00
2024-05-15T17:00,23.2,39,0.00
2024-05-15T18:00,21.4,43,0.00
2024-05-15T19:00,20.6,46,0.00
2024-05-15T20:00,19.1,49,0.00
2024-05-15T21:00,18.2,50,0.00
2024-05-15T22:00,17.2,51,0.00
2024-05-15T23:00,16.5,53,0.00
2024-05-16T00:00,15.7,55,0.00
2024-05-16T01:00,14.9,58,0.00
2024-05-16T02:00,14.1,59,0.00
2024-05-16T03:00,13.3,60,0.00
2024-05-16T04:00,12.8,63,0.00
2024-05-16T05:00,13.4,62,0.00
2024-05-16T06:00,14.8,59,0.00
2024-05-16T07:00,16.9,53,0.00
2024-05-16T08:00,19.1,45,0.00
2024-05-16T09:00,20.9,39,0.00
2024-05-16T10:00,22.2,36,0.00
2024-05-16T11:00,23.2,33,0.00
2024-05-16T12:00,24.0,30,0.00
2024-05-16T13:00,24.6,29,0.00
2024-05-16T14:00,23.9,33,0.00
2024-05-16T15:00,21.6,41,0.00
2024-05-16T16:00,20.4,45,0.00
2024-05-16T17:00,19.9,47,0.00
2024-05-16T18:00,19.5,49,0.00
2024-05-16T19:00,18.0,55,0.00
2024-05-16T20:00,16.6,59,0.10
2024-05-16T21:00,16.1,62,0.10
2024-05-16T22:00,15.7,66,0.00
2024-05-16T23:00,15.2,75,0.00
2024-05-17T00:00,14.4,82,0.00
2024-05-17T01:00,14.2,76,0.00
2024-05-17T02:00,13.2,80,0.00
2024-05-17T03:00,13.4,68,0.00
2024-05-17T04:00,13.4,64,0.00
2024-05-17T05:00,13.6,60,0.00
2024-05-17T06:00,14.3,55,0.00
2024-05-17T07:00,15.5,51,0.00
2024-05-17T08:00,17.6,47,0.00
2024-05-17T09:00,19.5,42,0.00
2024-05-17T10:00,21.0,38,0.00
2024-05-17T11:00,22.3,33,0.00
2024-05-17T12:00,23.2,32,0.00
2024-05-17T13:00,23.6,32,0.00
